iter	Logloss
0	0.6598434066
1	0.6288135498
2	0.6071454784
3	0.5877662644
4	0.5729508524
5	0.5621921701
6	0.5525998805
7	0.5443445021
8	0.5375841349
9	0.5332389391
10	0.5267619222
11	0.5222238124
12	0.5192572475
13	0.5159215739
14	0.5130281695
15	0.5095160885
16	0.5075631652
17	0.5055063736
18	0.5042441804
19	0.5028802628
20	0.5009537731
21	0.4996887538
22	0.4989263907
23	0.4977496505
24	0.49680263
25	0.4950695537
26	0.4945150465
27	0.4937459412
28	0.4931812283
29	0.4922852447
30	0.4915757709
31	0.4909785962
32	0.4905792224
33	0.4899420501
34	0.4890059695
35	0.4885967399
36	0.4877534137
37	0.4871769133
38	0.486612021
39	0.4863188617
40	0.4859702024
41	0.4855897779
42	0.4851889041
43	0.484893171
44	0.4843449177
45	0.4838386693
46	0.4832956684
47	0.4828717289
48	0.4825950775
49	0.4822508014
50	0.4817081473
51	0.4814406785
52	0.4811603295
53	0.4808001419
54	0.4803098793
55	0.4800300699
56	0.4797074175
57	0.4794409338
58	0.4790059346
59	0.478612474
60	0.4783600452
61	0.4780024065
62	0.4776171717
63	0.4769093972
64	0.4765852168
65	0.476222937
66	0.4759827144
67	0.4756457039
68	0.4753492017
69	0.4751108011
70	0.4747424942
71	0.4744107477
72	0.4741373589
73	0.4738206068
74	0.4736303106
75	0.4732720348
76	0.4730531577
77	0.4727848143
78	0.4725270278
79	0.472171727
80	0.4719665179
81	0.4717568701
82	0.4714340743
83	0.4711222631
84	0.470859718
85	0.4705450363
86	0.4702622166
87	0.469838553
88	0.4695982632
89	0.4693703132
90	0.4689490665
91	0.4686030355
92	0.4682752743
93	0.4678827281
94	0.4675340326
95	0.4672729952
96	0.4669287762
97	0.4665235393
98	0.4662191082
99	0.4659657937
100	0.4656821735
101	0.4653037245
102	0.4649176559
103	0.4646336661
104	0.4643210482
105	0.463998861
106	0.4637056545
107	0.4633574192
108	0.4630738229
109	0.4627626368
110	0.462502774
111	0.4621919669
112	0.4618182825
113	0.4614865619
114	0.461077326
115	0.4607519605
116	0.4604708268
117	0.4601088659
118	0.4597259671
119	0.4594697923
120	0.4589938644
121	0.4586393095
122	0.4581502107
123	0.4577490436
124	0.4573893269
125	0.4570219028
126	0.4566062678
127	0.4562854751
128	0.4558786086
129	0.4554491226
130	0.4551392113
131	0.4547136781
132	0.4544650151
133	0.4539306407
134	0.4536634849
135	0.4532951016
136	0.4529619928
137	0.4525550806
138	0.4523047591
139	0.4520557874
140	0.4518786406
141	0.4514346142
142	0.4509562567
143	0.4506396627
144	0.4502772764
145	0.4499181332
146	0.4496762386
147	0.4494073677
148	0.4491479635
149	0.4489227398
150	0.4487109889
151	0.4483743443
152	0.4479904016
153	0.4476270158
154	0.4473208368
155	0.4470939913
156	0.4467756341
157	0.4465572582
158	0.4462917036
159	0.4459578113
160	0.4456285379
161	0.4452397253
162	0.4448601135
163	0.4444852292
164	0.4441092775
165	0.4438065464
166	0.4434899738
167	0.4431639252
168	0.4429062829
169	0.4426185602
170	0.4423286205
171	0.4419432134
172	0.4417375931
173	0.4414571902
174	0.4411174771
175	0.4408448021
176	0.4404973934
177	0.4402372842
178	0.4399112863
179	0.4395574934
180	0.4393839577
181	0.4390145868
182	0.4387011911
183	0.4384908679
184	0.4381956447
185	0.4379843632
186	0.4376878242
187	0.437415094
188	0.4371449737
189	0.4366888552
190	0.4364961621
191	0.4361666871
192	0.4358512093
193	0.4355037829
194	0.435241671
195	0.4349158929
196	0.4346418524
197	0.434410573
198	0.434126757
199	0.433807675
